feature,mean_abs_shap
V96,0.00672905689260133
V296,0.006710474293445348
V36,0.006632832274659976
V259,0.006544270202050078
V169,0.006441397596049664
R_emaildomain_tld,0.006309722013096542
V278,0.006227182842846832
D14,0.006194014903125476
V222,0.006127365470219937
V25,0.006053313229505946
V124,0.00601502420440807
C7,0.005847302447163359
V276,0.005564245310641431
FE_M9,0.005538860228115993
V293,0.005422794358385537
V152,0.00519225272805084
id_36,0.00517421799129269
V219,0.005140232374050605
V10,0.005038488615030388
V266,0.005021663640376185
V69,0.004907264169752041
V209,0.004782892210085394
V102,0.004722139137485987
V136,0.004713766492487774
V135,0.0045790934425300476
V201,0.004549787435715203
V267,0.004467817286381256
id_29,0.004436956453175205
V60,0.004350917148887727
V291,0.004337540550081335
V73,0.004274467749492834
V261,0.004244895664496432
V47,0.004235459728509438
V72,0.00416984060357591
V149,0.004113274659842511
V264,0.004058396894831991
V160,0.004041091610921388
V234,0.003985187497907211
V302,0.0039443084742509
V139,0.003914930480394332
V287,0.0038899046064867003
V63,0.0038414525074798676
TransactionAmt_log_card4_mean,0.0036459472946102074
V224,0.003632070316636572
V245,0.003607124917095751
V23,0.0035912569716254257
V37,0.0035736886798733844
V306,0.003499237751775567
V40,0.0034791445378195224
FE_M7,0.0034625586510908103
V81,0.00342451592636408
id_38,0.0034160440443149224
V251,0.0033758194501374034
V184,0.0033402789814509846
V218,0.003339225881052757
V8,0.003333922668318303
V271,0.0032932136035506237
V220,0.00319227468396939
V335,0.0030782455106654243
V274,0.0030444244936008507
V26,0.0030400799024722183
id_28,0.0030117877669115813
V333,0.0030006848147494923
V243,0.002967682348372963
V156,0.0029672483817630656
V303,0.0029033159401593554
FE_card4,0.00288361789834352
V133,0.002867882050535049
V273,0.0028437958287557542
V105,0.00283220685767514
V137,0.002813075079395187
V6,0.0027563461414973982
V268,0.0026647301048226407
V256,0.0026625371688047605
D7,0.0026132503725840596
V71,0.002609648062256517
V108,0.0025962604891027166
V206,0.0025460126248063233
V166,0.0025444632363954673
V339,0.0025410331382102625
V132,0.0025239038774862066
V143,0.002518409246962703
id_26,0.0024919518757956826
V46,0.002486403052756586
V34,0.0024712909430741332
DeviceType,0.0024642321281790657
V203,0.002396852589742861
V42,0.002384353145856662
V57,0.0023814723856349636
V208,0.0023790100751275786
V231,0.0023494478557642964
V85,0.0023358202531595113
V295,0.0023317135527182167
V215,0.002329880433263321
V297,0.0023285619780845667
id_37,0.0022738379139711504
V321,0.002266378024473214
id_34,0.0022307267776637122
id_12,0.0022263570449305163
V64,0.002160062447065421
V298,0.0021578804702849603
V210,0.0020812150051308024
V134,0.002054468337130507
FE_R_emaildomain_tld,0.0020517028716827827
V286,0.002043035981496098
V43,0.00204105441396231
V280,0.0019778095575387128
V319,0.0019594787341093638
V109,0.0019556414004897322
V147,0.0019422873393055218
V79,0.0018982599024849477
V116,0.0018948194008182224
V216,0.0018898465885821183
V59,0.0018830875325191098
V318,0.001882394555069852
V180,0.0018590202912928911
TransactionAmt_log_card4_std,0.0018523421781466588
V51,0.001845142815792327
V115,0.0018450814056725038
V74,0.0018393798116776703
V289,0.0018140329371126153
V84,0.0018130721367322171
V217,0.0017874679293994607
V15,0.0017382422918450627
id_08,0.0017311767362371984
V292,0.0016849745248762372
V244,0.0016648119208509012
id_10,0.001657341880575223
V150,0.001619498152024131
V204,0.0015837976022429424
V163,0.0015279109772789162
id_04,0.0015247532005057474
V239,0.0015159298638572746
V95,0.0014996505722798179
V270,0.0014988592275634713
V272,0.0014911071561422597
V262,0.00147911352858219
id_32,0.0014648599054186034
V212,0.0014621562564479456
id_11,0.00145813667368832
V205,0.0014519976257471858
V223,0.0014490292023072357
V58,0.0014462296787483258
V178,0.00142417639976339
V265,0.0014108791827231475
V94,0.0013748409507720347
V80,0.0013688259569806906
V158,0.0013650718874411772
V207,0.001319071357652193
V97,0.0013139024139752818
V230,0.0013100724059685472
V323,0.001307152890683366
V52,0.0012991166100269095
V226,0.0012931082151838374
V3,0.0011810296386812918
V170,0.0011809981180958275
V233,0.0011746666499882733
V213,0.001145411700541426
V164,0.0011430795060521175
TransactionAmt_card4_count,0.0011319646681460479
V92,0.0011067193836742993
id_07,0.0010984784793865606
V304,0.0010608409336385855
V140,0.0010380134895855225
addr2,0.001037580167471225
V98,0.0010300566602890824
V202,0.0010245074881805422
V336,0.0009744049968803821
V125,0.0009721703867398477
V301,0.0009691966181971697
V275,0.000916418194993121
V21,0.0009116410469380158
FE_M2,0.0008789943785932658
V123,0.000871726149467395
V260,0.0008617660934207603
V288,0.0008525957523296307
V141,0.0008465888937724293
V17,0.000840338357230026
V176,0.0008201980933668735
V263,0.000809568817095414
V183,0.0007992113337050297
V93,0.0007781470316940228
V300,0.0007642038556627934
V242,0.0007525611841149158
V145,0.0007419077393918808
V118,0.0007386946459190676
V229,0.0007314803234805041
V171,0.0007137261098599518
V157,0.0006953702599711896
V290,0.0006902308185556466
V299,0.000668109103544375
id_35,0.0006603721772841864
V101,0.0006372342492686575
V255,0.0006317752881438217
